Food,Measure,Grams,Calories,Cal_100G,Protein,Pro_100G,Fat,Sat.Fat,Fat_100G,Fiber,Carbohydrate,CHO_100G,Category
Mushrooms canned,4,120.00,12.00,10.00,2.00,1.67,0.00,0.00,0.00,0.00,4.00,3.33,Vegetables F-P
Mustard greens,1,140.00,30.00,21.43,3.00,2.14,0.00,0.00,0.00,1.20,6.00,4.29,Vegetables F-P
Okra,1 1/3 cups,100.00,32.00,32.00,1.00,1.00,0.00,0.00,0.00,1.00,7.00,7.00,Vegetables F-P
Onions,1,210.00,80.00,38.10,2.00,0.95,0.00,0.00,0.00,1.60,18.00,8.57,Vegetables F-P
"Raw, green",6 small,50.00,22.00,44.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,10.00,Vegetables F-P
Parsley,2 T.,50.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Vegetables F-P
Parsnips,1 cup,155.00,95.00,61.29,2.00,1.29,1.00,0.00,0.65,3.00,22.00,14.19,Vegetables F-P
Peas,1 cup,100.00,66.00,66.00,3.00,3.00,0.00,0.00,0.00,0.10,13.00,13.00,Vegetables F-P
"Fresh, steamed peas",1 cup,100.00,70.00,70.00,5.00,5.00,0.00,0.00,0.00,2.20,12.00,12.00,Vegetables R-Z
Frozen peas,1 cup,100.00,,0.00,5.00,5.00,0.00,0.00,0.00,1.80,12.00,12.00,Vegetables R-Z
Split cooked peas,4 cups,100.00,115.00,115.00,8.00,8.00,0.00,0.00,0.00,0.40,21.00,21.00,Vegetables R-Z
heated peas,1 cup,100.00,53.00,53.00,3.00,3.00,0.00,0.00,0.00,1.00,10.00,10.00,Vegetables R-Z
Peppers canned,1 pod,38.00,10.00,26.32,0.00,0.00,0.00,0.00,0.00,0.00,2.00,5.26,Vegetables R-Z
"Peppers Raw, green, sweet",1 large,100.00,25.00,25.00,1.00,1.00,0.00,0.00,0.00,1.40,6.00,6.00,Vegetables R-Z
Peppers with beef and crumbs,1 med.,150.00,255.00,170.00,19.00,12.67,9.00,8.00,6.00,1.00,24.00,16.00,Vegetables R-Z
"Potatoes, baked",1 med.,100.00,100.00,100.00,2.00,2.00,0.00,0.00,0.00,0.50,22.00,22.00,Vegetables R-Z
French-fried,10 pieces,60.00,155.00,258.33,-1.00,0,7.00,3.00,11.67,0.40,20.00,33.33,Vegetables R-Z
Potatoes Mashed with milk and butter,1 cup,200.00,230.00,115.00,4.00,2.00,12.00,11.00,6.00,0.70,28.00,14.00,Vegetables R-Z
"Potatoes, pan-tried",3/4 cup,100.00,268.00,268.00,4.00,4.00,14.00,6.00,14.00,0.40,33.00,33.00,Vegetables R-Z
Scalloped with cheese potatoes,3/4 cup,100.00,145.00,145.00,6.00,6.00,8.00,7.00,8.00,0.40,14.00,14.00,Vegetables R-Z
Steamed potatoes before peeling,1 med.,100.00,80.00,80.00,2.00,2.00,0.00,0.00,0.00,0.40,19.00,19.00,Vegetables R-Z
Potato chips,10,20.00,110.00,550.00,1.00,5.00,7.00,4.00,35.00,0.00,10.00,50.00,Vegetables R-Z
Radishes,5 small,50.00,10.00,20.00,0.00,0.00,0.00,0.00,0.00,0.30,2.00,4.00,Vegetables R-Z
Rutabagas,4 cups,100.00,32.00,32.00,0.00,0.00,0.00,0.00,0.00,1.40,8.00,8.00,Vegetables R-Z
Soybeans,1 cup,200.00,260.00,130.00,22.00,11.00,11.00,0.00,5.50,3.20,20.00,10.00,Vegetables R-Z
Spinach,1 cup,100.00,26.00,26.00,3.00,3.00,0.00,0.00,0.00,1.00,3.00,3.00,Vegetables R-Z
Squash,1 cup,210.00,35.00,16.67,1.00,0.48,0.00,0.00,0.00,0.60,8.00,3.81,Vegetables R-Z
"Winter, mashed Squash",1 cup,200.00,95.00,47.50,4.00,2.00,0.00,0.00,0.00,2.60,23.00,11.50,Vegetables R-Z
Sweet potatoes,1 med.,110.00,155.00,140.91,2.00,1.82,1.00,0.00,0.91,1.00,36.00,32.73,Vegetables R-Z
Candied Sweet potatoes,1 med.,175.00,235.00,134.29,2.00,1.14,6.00,5.00,3.43,1.50,80.00,45.71,Vegetables R-Z
Tomatoes,1 cup,240.00,50.00,20.83,2.00,0.83,0.00,0.00,0.00,1.00,9.00,3.75,Vegetables R-Z
"Raw, 2 by 2 1/2 Tomatoes",1 med.,150.00,30.00,20.00,1.00,0.67,0.00,0.00,0.00,0.60,6.00,4.00,Vegetables R-Z
Tomato juice,1 cup,240.00,50.00,20.83,2.00,0.83,0.00,0.00,0.00,0.60,10.00,4.17,Vegetables R-Z
Tomato catsup,1 T.,17.00,15.00,88.24,0.00,0.00,0.00,0.00,0.00,0.00,4.00,23.53,Vegetables R-Z
Turnip greens,1 cup,145.00,45.00,31.03,4.00,2.76,1.00,0.00,0.69,1.80,8.00,5.52,Vegetables R-Z
"Turnips, steamed",1 cup,155.00,40.00,25.81,1.00,0.65,0.00,0.00,0.00,1.80,9.00,5.81,Vegetables R-Z
"Watercress stems, raw",1 cup,50.00,9.00,18.00,1.00,2.00,0.00,0.00,0.00,0.30,1.00,2.00,Fruits A-F
Apple juice canned,1 cup,250.00,125.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,13.60,Fruits A-F
Apple vinegar,1/3 cup,100.00,14.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,Fruits A-F
"Apples, raw",1 med,130.00,70.00,53.85,0.00,0.00,0.00,0.00,0.00,1.00,18.00,13.85,Fruits A-F
Stewed or canned Apples,1 cup,240.00,100.00,41.67,0.00,0.00,0.00,0.00,0.00,2.00,26.00,10.83,Fruits A-F
Apricots,1 cup,250.00,220.00,88.00,2.00,0.80,0.00,0.00,0.00,1.00,57.00,22.80,Fruits A-F
"Dried, uncooked Apricots",1/2 cup,75.00,220.00,293.33,4.00,5.33,0.00,0.00,0.00,1.00,50.00,66.67,Fruits A-F
Fresh Apricots,3 med.,114.00,55.00,48.25,1.00,0.88,0.00,0.00,0.00,0.70,14.00,12.28,Fruits A-F
"Nectar, or juice",1 cup,250.00,140.00,56.00,1.00,0.40,0.00,0.00,0.00,2.00,36.00,14.40,Fruits A-F
Avocado,1/2 large,108.00,185.00,171.30,2.00,1.85,18.00,12.00,16.67,1.80,6.00,5.56,Fruits A-F
Banana,1 med.,150.00,85.00,56.67,1.00,0.67,0.00,0.00,0.00,0.90,23.00,15.33,Fruits A-F
Blackberries,1 cup,144.00,85.00,59.03,2.00,1.39,1.00,0.00,0.69,6.60,19.00,13.19,Fruits A-F
Blueberries,1 cup,250.00,245.00,98.00,1.00,0.40,0.00,0.00,0.00,2.00,65.00,26.00,Fruits A-F
Cantaloupe,1/2 med.,380.00,40.00,10.53,1.00,0.26,0.00,0.00,0.00,2.20,9.00,2.37,Fruits A-F
Cherries,1 cup,257.00,100.00,38.91,2.00,0.78,1.00,0.00,0.39,2.00,26.00,10.12,Fruits A-F
"Fresh, raw",1 cup,114.00,65.00,57.02,1.00,0.88,0.00,0.00,0.00,0.80,15.00,13.16,Fruits A-F
Cranberry sauce sweetened,1 cup,277.00,530.00,191.34,0.00,0.00,0.00,0.00,0.00,1.20,142.00,51.26,Fruits A-F
